id,issue_id,issue_text,issue_category_l1,issue_category_l2,issue_category_l3,vote_answer_id,vote_answer_text,vote_increment,current_vote_flag,vote_timestamp,userid,gender,zip,country,state,city,religion,ethnic,income,marital,edu,age,left_right,lib_auth,radic_cons,dowe_hawk
"1-65-0","65","111","389,420,448,461","390","392","0","1","1","1","1362549705","50347a3f14aea923e9f8eac867fd3bb1","0","","","","","","","","","","","3","3","3","3"
"1-65-1","65","111","389,420,448,461","390","392","1","2","-1","0","1362549704","50347a3f14aea923e9f8eac867fd3bb1","0","","","","","","","","","","","3","3","3","3"
"1-65-1","65","111","389,420,448,461","390","392","1","2","1","0","1362549700","50347a3f14aea923e9f8eac867fd3bb1","0","","","","","","","","","","","3","3","3","3"
"1-65-0","65","111","389,420,448,461","390","392","0","1","-1","0","1362549700","50347a3f14aea923e9f8eac867fd3bb1","0","","","","","","","","","","","3","3","3","3"
"1-65-0","65","111","389,420,448,461","390","392","0","1","1","0","1361877406","50347a3f14aea923e9f8eac867fd3bb1","0","","","","","","","","","","","3","3","3","3"
