 2657895 ch_ZH
 2661551 ch_BE
 2659810 ch_LU
 2658226 ch_UR
 2658664 ch_SZ
 2659315 ch_OW
 2659471 ch_NW
 2660593 ch_GL
 2657907 ch_ZG
 2660717 ch_FR
 2658563 ch_SO
 2661603 ch_BL
 2658760 ch_SH
 2661739 ch_AR
 2661876 ch_AG
 2658372 ch_TG
 2658370 ch_TI
 2658182 ch_VD
 2658205 ch_VS
 2660645 ch_GE
 2660207 ch_JU
*2661602 ch_BS
*2661741 ch_AI 
*2658821 ch_SG
*2660522 ch_GR
*2659495 ch_NE
